date,city,city_code,state,vacancy_rate,rent_index,property_value_index,cap_rate,office_reit_total_return,urban_office_employment_index,small_business_rent_burden,period
2005-03-31,New York,NYC,NY,0.10580853195748947,99.98567103308362,110.08075287789387,0.04349826042537694,0.13923749429854468,101.39804853562663,0.193246386374643,2005Q1
2005-06-30,New York,NYC,NY,0.14702138818126403,101.04232784789443,110.48403480705542,0.04433574602391327,0.11983899157176842,101.86018261066994,0.19377737289720817,2005Q2
2005-09-30,New York,NYC,NY,0.1368606668855577,101.97573638367668,112.47624998870148,0.045832425218558924,0.11724706045500034,102.57444346516812,0.19397468749998603,2005Q3
2005-12-31,New York,NYC,NY,0.12247832153609636,102.70764272206546,114.72535694239903,0.04581325406541333,0.08213240460018517,102.98449071876213,0.19425805755285286,2005Q4
2006-03-31,New York,NYC,NY,0.14547209662837202,103.2099109149736,114.85655449485981,0.04676301901030099,0.08764884755671071,103.90298317482689,0.1938996659048582,2006Q1
2006-06-30,New York,NYC,NY,0.141306106646245,104.32383241087169,116.25702125322434,0.04359337125951171,0.07153715333375432,104.1995624481069,0.1946073353513783,2006Q2
2006-09-30,New York,NYC,NY,0.15601937052529882,105.16068111181136,116.54397666890353,0.04569757612150002,0.10885814702948854,104.26688363469658,0.19527149877445424,2006Q3
2006-12-31,New York,NYC,NY,0.16727414065374144,105.47591565157765,117.6211065720153,0.04565832696544085,0.029799229068893054,105.01882339955998,0.19489172313448108,2006Q4
2007-03-31,New York,NYC,NY,0.16488278094219513,105.61789575210977,119.30989244648242,0.04534861647803353,0.12181182957683531,104.87408903922564,0.1951383140466139,2007Q1
2007-06-30,New York,NYC,NY,0.1803868190657652,106.22874990779333,119.43508271885814,0.04782653439793894,0.06739566129595258,104.78268072198141,0.19574205857138155,2007Q2
2007-09-30,New York,NYC,NY,0.17566892138680038,106.61264508321965,120.88834422610611,0.049140554519077534,0.11408582968477544,105.34474574411588,0.1955832143522043,2007Q3
2007-12-31,New York,NYC,NY,0.17374963786023212,107.01627348232701,121.69890631151043,0.046199266588906676,0.08056351017023117,105.2900491853595,0.19597554482051355,2007Q4
2008-03-31,New York,NYC,NY,0.16028241561919176,107.54077230259252,123.29913135373043,0.04433477159124814,0.06590743759475123,105.43006671735759,0.19630179628625682,2008Q1
2008-06-30,New York,NYC,NY,0.1695295800231254,108.59743342345087,124.99408189363751,0.04394548009179651,0.1272474923847086,106.0525800714891,0.1966596532731421,2008Q2
2008-09-30,New York,NYC,NY,0.15824245553324817,108.48318432766199,126.58064071516154,0.04570088513762686,0.09396778456877455,107.23500801270664,0.19554756711849802,2008Q3
2008-12-31,New York,NYC,NY,0.16125351294361068,109.5268778981279,126.93698777374438,0.044545697331985545,0.11981471958274555,106.1934549394282,0.19732510882101065,2008Q4
2009-03-31,New York,NYC,NY,0.1532227825007694,109.77269779775638,126.58013747226514,0.04707771030075803,0.12821397384952832,107.16439527034446,0.1966905337763991,2009Q1
2009-06-30,New York,NYC,NY,0.14787247770126513,109.84654452869533,128.61375728095248,0.04372811703671083,0.15866355024568105,107.71397250126944,0.1962818624456179,2009Q2
2009-09-30,New York,NYC,NY,0.14515950115771944,110.98783983030219,130.02462786739034,0.0482040145146242,0.07628777818625779,108.11268422896755,0.19689346572481814,2009Q3
2009-12-31,New York,NYC,NY,0.13353317791806452,111.04134024118844,130.75521951281183,0.04768606338946663,0.1073756750000748,107.56114574954766,0.19741199486640823,2009Q4
2010-03-31,New York,NYC,NY,0.1390898143149438,111.47904587828381,130.71983454414556,0.04560716164500024,0.06306716470268227,107.66715581117977,0.1976863951773837,2010Q1
2010-06-30,New York,NYC,NY,0.1259992757576138,112.14045137478162,132.2740270715569,0.04593079929585116,0.06904955310916913,107.65316145686573,0.19825145594562263,2010Q2
